seqnames,start,end,width,gen,ID,study
chr1,237402807,237402905,99,,chimpanzee,SNIFFLES
chr1,248458616,248458675,60,,chimpanzee,SNIFFLES
chr1,248866385,248866460,76,,chimpanzee,SNIFFLES
chrX,33590856,33591315,460,,chimpanzee,SNIFFLES
chrX,105499015,105500288,1274,,chimpanzee,SNIFFLES
chr2,3506893,3507146,254,,chimpanzee,SNIFFLES
chr2,5020970,5021002,33,,chimpanzee,SNIFFLES
chr2,7747162,87073612,79326451,,chimpanzee,SNIFFLES
chr2,17671896,17672176,281,,chimpanzee,SNIFFLES
chr2,17847594,17848082,489,,chimpanzee,SNIFFLES
chr2,25396623,25397143,521,,chimpanzee,SNIFFLES
chr2,25984651,25985314,664,,chimpanzee,SNIFFLES
chr2,29335608,29335659,52,,chimpanzee,SNIFFLES
chr2,32565649,36401265,3835617,,chimpanzee,SNIFFLES
chr2,34120935,34121020,86,,chimpanzee,SNIFFLES
chr2,35285762,35287252,1491,,chimpanzee,SNIFFLES
chr2,40967524,40968272,749,,chimpanzee,SNIFFLES
chr2,43684167,43687198,3032,,chimpanzee,SNIFFLES
chr2,47009475,47009533,59,,chimpanzee,SNIFFLES
chr2,49642351,49642420,70,,chimpanzee,SNIFFLES
chr2,52470815,52471998,1184,,chimpanzee,SNIFFLES
chr2,56063380,56064078,699,,chimpanzee,SNIFFLES
chr2,56063380,56067424,4045,,chimpanzee,SNIFFLES
chr2,57352254,57354202,1949,,chimpanzee,SNIFFLES
chr2,66934626,66934682,57,,chimpanzee,SNIFFLES
chr2,70920250,123764417,52844168,,chimpanzee,SNIFFLES
chr2,81922271,81923412,1142,,chimpanzee,SNIFFLES
chr2,82384459,82384668,210,,chimpanzee,SNIFFLES
chr2,89841198,94258984,4417787,,chimpanzee,SNIFFLES
chr2,94247636,95579856,1332221,,chimpanzee,SNIFFLES
chr2,94642795,95579570,936776,,chimpanzee,SNIFFLES
chr2,99510861,102319491,2808631,,chimpanzee,SNIFFLES
chr2,102238047,112362514,10124468,,chimpanzee,SNIFFLES
chr2,108097675,108098778,1104,,chimpanzee,SNIFFLES
chr2,108107363,112441197,4333835,,chimpanzee,SNIFFLES
chr2,108259576,108262306,2731,,chimpanzee,SNIFFLES
chr2,109111639,111885397,2773759,,chimpanzee,SNIFFLES
chr2,114013799,114014549,751,,chimpanzee,SNIFFLES
chr2,120151116,120151538,423,,chimpanzee,SNIFFLES
chr2,123036913,123122687,85775,,chimpanzee,SNIFFLES
chr2,126391067,126391173,107,,chimpanzee,SNIFFLES
chr2,127366867,127367051,185,,chimpanzee,SNIFFLES
chr2,129330301,129330378,78,,chimpanzee,SNIFFLES
chr2,130559902,130719934,160033,,chimpanzee,SNIFFLES
chr2,131425346,131430461,5116,,chimpanzee,SNIFFLES
chr2,137682996,137684213,1218,,chimpanzee,SNIFFLES
chr2,142766704,142766909,206,,chimpanzee,SNIFFLES
chr2,142766704,142767815,1112,,chimpanzee,SNIFFLES
chr2,145959883,145967142,7260,,chimpanzee,SNIFFLES
chr2,149231345,149297836,66492,,chimpanzee,SNIFFLES
chr2,149297836,149302398,4563,,chimpanzee,SNIFFLES
chr2,151831764,151831833,70,,chimpanzee,SNIFFLES
chr2,155763081,155763403,323,,chimpanzee,SNIFFLES
chr2,157441180,221446879,64005700,,chimpanzee,SNIFFLES
chr2,158576376,158576417,42,,chimpanzee,SNIFFLES
chr2,159891414,159891452,39,,chimpanzee,SNIFFLES
chr2,163766201,163767589,1389,,chimpanzee,SNIFFLES
chr2,167474939,167495883,20945,,chimpanzee,SNIFFLES
chr2,173645595,173645690,96,,chimpanzee,SNIFFLES
chr2,174623581,174623878,298,,chimpanzee,SNIFFLES
chr2,175808265,175808444,180,,chimpanzee,SNIFFLES
chr2,176417650,176418795,1146,,chimpanzee,SNIFFLES
chr2,180767344,180785831,18488,,chimpanzee,SNIFFLES
chr2,182104125,182104955,831,,chimpanzee,SNIFFLES
chr2,191741153,191743391,2239,,chimpanzee,SNIFFLES
chr2,195778878,195780475,1598,,chimpanzee,SNIFFLES
chr2,202586631,202586746,116,,chimpanzee,SNIFFLES
chr2,202586632,202586837,206,,chimpanzee,SNIFFLES
chr2,206404214,206404786,573,,chimpanzee,SNIFFLES
chr2,206404214,206411566,7353,,chimpanzee,SNIFFLES
chr2,214157115,214157206,92,,chimpanzee,SNIFFLES
chr2,219832057,219832306,250,,chimpanzee,SNIFFLES
chr2,225550927,225551580,654,,chimpanzee,SNIFFLES
chr2,231943653,231945676,2024,,chimpanzee,SNIFFLES
chr2,234614140,234619824,5685,,chimpanzee,SNIFFLES
chr2,234614140,234616061,1922,,chimpanzee,SNIFFLES
chr2,241566734,241567626,893,,chimpanzee,SNIFFLES
chr11,118749538,118750345,808,,chimpanzee,SNIFFLES
chr14,48005347,48007186,1840,,chimpanzee,SNIFFLES
chr3,4509461,4510895,1435,,chimpanzee,SNIFFLES
chr3,6784545,6784594,50,,chimpanzee,SNIFFLES
chr3,8059340,8059498,159,,chimpanzee,SNIFFLES
chr3,13455614,57067671,43612058,,chimpanzee,SNIFFLES
chr3,14113254,14114532,1279,,chimpanzee,SNIFFLES
chr3,15827456,15827606,151,,chimpanzee,SNIFFLES
chr3,16437281,16437430,150,,chimpanzee,SNIFFLES
chr3,18290298,18290367,70,,chimpanzee,SNIFFLES
chr3,22207534,22208620,1087,,chimpanzee,SNIFFLES
chr3,25017465,25017675,211,,chimpanzee,SNIFFLES
chr3,31411507,176076084,144664578,,chimpanzee,SNIFFLES
chr3,32313413,32313903,491,,chimpanzee,SNIFFLES
chr3,34498597,34499900,1304,,chimpanzee,SNIFFLES
chr3,37827009,37827860,852,,chimpanzee,SNIFFLES
chr3,40392920,185285516,144892597,,chimpanzee,SNIFFLES
chr3,41397834,41398818,985,,chimpanzee,SNIFFLES
chr3,47690765,47691726,962,,chimpanzee,SNIFFLES
chr3,51853751,151664879,99811129,,chimpanzee,SNIFFLES
chr3,53598230,53598460,231,,chimpanzee,SNIFFLES
chr3,54158224,54160935,2712,,chimpanzee,SNIFFLES
chr3,57778848,57778928,81,,chimpanzee,SNIFFLES
chr3,63301237,63303040,1804,,chimpanzee,SNIFFLES
chr3,63302908,63303557,650,,chimpanzee,SNIFFLES
chr3,79033884,79034153,270,,chimpanzee,SNIFFLES
chr3,80558116,80558993,878,,chimpanzee,SNIFFLES
chr3,80591823,80592042,220,,chimpanzee,SNIFFLES
chr3,82154399,82154855,457,,chimpanzee,SNIFFLES
chr3,87642525,135809005,48166481,,chimpanzee,SNIFFLES
chr3,89623032,89623147,116,,chimpanzee,SNIFFLES
chr3,95003262,95003347,86,,chimpanzee,SNIFFLES
chr3,95263827,95264206,380,,chimpanzee,SNIFFLES
chr3,96338318,96338418,101,,chimpanzee,SNIFFLES
chr3,96816892,96817229,338,,chimpanzee,SNIFFLES
chr3,98412537,98412799,263,,chimpanzee,SNIFFLES
chr3,98433978,98435495,1518,,chimpanzee,SNIFFLES
chr3,103967836,103969037,1202,,chimpanzee,SNIFFLES
chr3,104631607,104632318,712,,chimpanzee,SNIFFLES
chr3,106430924,106431647,724,,chimpanzee,SNIFFLES
chr3,112101997,112102052,56,,chimpanzee,SNIFFLES
chr3,116841466,116843104,1639,,chimpanzee,SNIFFLES
chr3,123381790,123382016,227,,chimpanzee,SNIFFLES
chr3,124690359,124690939,581,,chimpanzee,SNIFFLES
chr3,132788919,132789635,717,,chimpanzee,SNIFFLES
chr3,137118720,137118914,195,,chimpanzee,SNIFFLES
chr3,138854757,138859378,4622,,chimpanzee,SNIFFLES
chr3,138854757,138855756,1000,,chimpanzee,SNIFFLES
chr3,139757619,139758354,736,,chimpanzee,SNIFFLES
chr3,145394724,145395010,287,,chimpanzee,SNIFFLES
chr3,154924301,154925442,1142,,chimpanzee,SNIFFLES
chr3,158903208,158903328,121,,chimpanzee,SNIFFLES
chr3,159398246,159405394,7149,,chimpanzee,SNIFFLES
chr3,159588483,159592627,4145,,chimpanzee,SNIFFLES
chr3,159588483,159589197,715,,chimpanzee,SNIFFLES
chr3,166620677,166626743,6067,,chimpanzee,SNIFFLES
chr3,168833130,168833715,586,,chimpanzee,SNIFFLES
chr3,168833589,168836256,2668,,chimpanzee,SNIFFLES
chr3,168888110,168900301,12192,,chimpanzee,SNIFFLES
chr3,169218983,169219981,999,,chimpanzee,SNIFFLES
chr3,169770349,169770577,229,,chimpanzee,SNIFFLES
chr3,185613841,185615024,1184,,chimpanzee,SNIFFLES
chr3,187418175,187428814,10640,,chimpanzee,SNIFFLES
chr3,187476656,187476727,72,,chimpanzee,SNIFFLES
chr3,189521939,189525227,3289,,chimpanzee,SNIFFLES
chr3,189525020,189525227,208,,chimpanzee,SNIFFLES
chr3,191146049,191146705,657,,chimpanzee,SNIFFLES
chr3,191919858,191920019,162,,chimpanzee,SNIFFLES
chr3,192714514,192714818,305,,chimpanzee,SNIFFLES
chr3,194335748,194340508,4761,,chimpanzee,SNIFFLES
chr3,194538101,194538188,88,,chimpanzee,SNIFFLES
chr3,195693817,195957622,263806,,chimpanzee,SNIFFLES
chr12,78959277,78959736,460,,chimpanzee,SNIFFLES
chr1,36385843,154281598,117895756,,chimpanzee,SNIFFLES
chr4,490241,490661,421,,chimpanzee,SNIFFLES
chr4,490575,490661,87,,chimpanzee,SNIFFLES
chr4,6326975,6327860,886,,chimpanzee,SNIFFLES
chr4,14488663,14488758,96,,chimpanzee,SNIFFLES
chr4,20155202,20155378,177,,chimpanzee,SNIFFLES
chr4,23427246,23427427,182,,chimpanzee,SNIFFLES
chr4,24577157,24578876,1720,,chimpanzee,SNIFFLES
chr4,25058809,25059288,480,,chimpanzee,SNIFFLES
chr4,28292375,28298389,6015,,chimpanzee,SNIFFLES
chr4,28297279,28298391,1113,,chimpanzee,SNIFFLES
chr4,28297279,28299337,2059,,chimpanzee,SNIFFLES
chr4,28298389,28299344,956,,chimpanzee,SNIFFLES
chr4,30690650,30691482,833,,chimpanzee,SNIFFLES
chr4,31436136,31436360,225,,chimpanzee,SNIFFLES
chr4,31696853,31714904,18052,,chimpanzee,SNIFFLES
chr4,33345779,33346023,245,,chimpanzee,SNIFFLES
chr4,33477261,33478510,1250,,chimpanzee,SNIFFLES
chr4,34218081,34218416,336,,chimpanzee,SNIFFLES
chr4,34485089,34486212,1124,,chimpanzee,SNIFFLES
chr4,43128105,43129515,1411,,chimpanzee,SNIFFLES
chr4,43206754,43208125,1372,,chimpanzee,SNIFFLES
chr4,44077073,44079330,2258,,chimpanzee,SNIFFLES
chr4,44809659,85041859,40232201,,chimpanzee,SNIFFLES
chr4,49212152,49224196,12045,,chimpanzee,SNIFFLES
chr4,49278600,49510094,231495,,chimpanzee,SNIFFLES
chr4,58093975,58094039,65,,chimpanzee,SNIFFLES
chr4,59310496,121122949,61812454,,chimpanzee,SNIFFLES
chr4,61384743,61385826,1084,,chimpanzee,SNIFFLES
chr4,63240819,63250956,10138,,chimpanzee,SNIFFLES
chr4,63348026,63350595,2570,,chimpanzee,SNIFFLES
chr4,63350595,63351267,673,,chimpanzee,SNIFFLES
chr4,65466083,65467376,1294,,chimpanzee,SNIFFLES
chr4,69775641,69775971,331,,chimpanzee,SNIFFLES
chr4,83256865,83257693,829,,chimpanzee,SNIFFLES
chr4,84707123,84708319,1197,,chimpanzee,SNIFFLES
chr4,87926012,87937548,11537,,chimpanzee,SNIFFLES
chr4,88533134,88533621,488,,chimpanzee,SNIFFLES
chr4,92649036,92649147,112,,chimpanzee,SNIFFLES
chr4,93238552,93238614,63,,chimpanzee,SNIFFLES
chr4,93921515,93925552,4038,,chimpanzee,SNIFFLES
chr4,93925456,93925556,101,,chimpanzee,SNIFFLES
chr4,102808386,102808456,71,,chimpanzee,SNIFFLES
chr4,103100253,143035817,39935565,,chimpanzee,SNIFFLES
chr4,103479732,103482302,2571,,chimpanzee,SNIFFLES
chr4,103479732,103480028,297,,chimpanzee,SNIFFLES
chr4,109705793,109707392,1600,,chimpanzee,SNIFFLES
chr4,109707287,109707651,365,,chimpanzee,SNIFFLES
chr4,114980683,114980851,169,,chimpanzee,SNIFFLES
chr4,116112556,116112996,441,,chimpanzee,SNIFFLES
chr4,116443018,116443597,580,,chimpanzee,SNIFFLES
chr4,124500069,124500285,217,,chimpanzee,SNIFFLES
chr4,129302635,129302877,243,,chimpanzee,SNIFFLES
chr4,133003532,133008094,4563,,chimpanzee,SNIFFLES
chr4,135034862,135035346,485,,chimpanzee,SNIFFLES
chr4,135386853,135389872,3020,,chimpanzee,SNIFFLES
chr4,135389886,135392420,2535,,chimpanzee,SNIFFLES
chr4,136722284,136728276,5993,,chimpanzee,SNIFFLES
chr4,137161625,137161749,125,,chimpanzee,SNIFFLES
chr4,145964189,145982880,18692,,chimpanzee,SNIFFLES
chr4,147288624,147289023,400,,chimpanzee,SNIFFLES
chr4,158011839,158011875,37,,chimpanzee,SNIFFLES
chr4,159312727,159312778,52,,chimpanzee,SNIFFLES
chr4,159373017,159373466,450,,chimpanzee,SNIFFLES
chr4,162466518,162467130,613,,chimpanzee,SNIFFLES
chr4,165033044,165033225,182,,chimpanzee,SNIFFLES
chr4,166479595,166479714,120,,chimpanzee,SNIFFLES
chr4,167082347,167084083,1737,,chimpanzee,SNIFFLES
chr4,170028798,170029246,449,,chimpanzee,SNIFFLES
chr4,171913946,171914770,825,,chimpanzee,SNIFFLES
chr4,173288002,173288311,310,,chimpanzee,SNIFFLES
chr4,173965055,173973675,8621,,chimpanzee,SNIFFLES
chr4,180624953,180625187,235,,chimpanzee,SNIFFLES
chr4,181832272,181833574,1303,,chimpanzee,SNIFFLES
chr4,186080807,186081149,343,,chimpanzee,SNIFFLES
chr4,188853713,188853784,72,,chimpanzee,SNIFFLES
chr6,116749589,116750094,506,,chimpanzee,SNIFFLES
chr12,106347650,106348602,953,,chimpanzee,SNIFFLES
chr17,46917951,46918837,887,,chimpanzee,SNIFFLES
chr5,2418230,2418716,487,,chimpanzee,SNIFFLES
chr5,4846233,104117463,99271231,,chimpanzee,SNIFFLES
chr5,5743962,5744449,488,,chimpanzee,SNIFFLES
chr5,12358383,12362889,4507,,chimpanzee,SNIFFLES
chr5,12362696,12362871,176,,chimpanzee,SNIFFLES
chr5,12452805,12453185,381,,chimpanzee,SNIFFLES
chr5,15928257,15928442,186,,chimpanzee,SNIFFLES
chr5,17517537,17580549,63013,,chimpanzee,SNIFFLES
chr5,18553211,96585732,78032522,,chimpanzee,SNIFFLES
chr5,20377463,20377943,481,,chimpanzee,SNIFFLES
chr5,21369598,34243081,12873484,,chimpanzee,SNIFFLES
chr5,26616989,26639890,22902,,chimpanzee,SNIFFLES
chr5,26736297,26736346,50,,chimpanzee,SNIFFLES
chr5,28230945,28231150,206,,chimpanzee,SNIFFLES
chr5,28230945,28241031,10087,,chimpanzee,SNIFFLES
chr5,29005486,29010334,4849,,chimpanzee,SNIFFLES
chr5,29095226,29109108,13883,,chimpanzee,SNIFFLES
chr5,32970736,32970899,164,,chimpanzee,SNIFFLES
chr5,45015438,45015735,298,,chimpanzee,SNIFFLES
chr5,52395809,75444113,23048305,,chimpanzee,SNIFFLES
chr5,58460510,113839823,55379314,,chimpanzee,SNIFFLES
chr5,63409341,63409386,46,,chimpanzee,SNIFFLES
chr5,67678836,67678904,69,,chimpanzee,SNIFFLES
chr5,75961842,75962671,830,,chimpanzee,SNIFFLES
chr5,77534593,77535038,446,,chimpanzee,SNIFFLES
chr5,79051083,79051131,49,,chimpanzee,SNIFFLES
chr5,79880588,79882166,1579,,chimpanzee,SNIFFLES
chr5,84435708,84436065,358,,chimpanzee,SNIFFLES
chr5,87805456,87805807,352,,chimpanzee,SNIFFLES
chr5,95341733,95343263,1531,,chimpanzee,SNIFFLES
chr5,99183241,99183420,180,,chimpanzee,SNIFFLES
chr5,99189343,99189654,312,,chimpanzee,SNIFFLES
chr5,101292513,101292777,265,,chimpanzee,SNIFFLES
chr5,104145751,104147026,1276,,chimpanzee,SNIFFLES
chr5,106564948,106575141,10194,,chimpanzee,SNIFFLES
chr5,106564949,106575140,10192,,chimpanzee,SNIFFLES
chr5,118156256,118157959,1704,,chimpanzee,SNIFFLES
chr5,121856939,121857006,68,,chimpanzee,SNIFFLES
chr5,124297764,124298728,965,,chimpanzee,SNIFFLES
chr5,125259777,125260951,1175,,chimpanzee,SNIFFLES
chr5,126228825,126228899,75,,chimpanzee,SNIFFLES
chr5,131907391,131907424,34,,chimpanzee,SNIFFLES
chr5,132701417,132701483,67,,chimpanzee,SNIFFLES
chr5,132701426,132701815,390,,chimpanzee,SNIFFLES
chr5,134484322,134484447,126,,chimpanzee,SNIFFLES
chr5,135162854,135164020,1167,,chimpanzee,SNIFFLES
chr5,145153264,145166617,13354,,chimpanzee,SNIFFLES
chr5,148780084,148780781,698,,chimpanzee,SNIFFLES
chr5,153877037,153877112,76,,chimpanzee,SNIFFLES
chr5,166328136,166328344,209,,chimpanzee,SNIFFLES
chr5,169110392,169111226,835,,chimpanzee,SNIFFLES
chr5,171941830,171941923,94,,chimpanzee,SNIFFLES
chr5,174299451,174299681,231,,chimpanzee,SNIFFLES
chr5,176437555,176438470,916,,chimpanzee,SNIFFLES
chr5,177956854,177976963,20110,,chimpanzee,SNIFFLES
chr5,181246653,181278877,32225,,chimpanzee,SNIFFLES
chr9,120502,68309755,68189254,,chimpanzee,SNIFFLES
chr6,8984736,8984840,105,,chimpanzee,SNIFFLES
chr6,9462215,9462581,367,,chimpanzee,SNIFFLES
chr6,9746555,9746632,78,,chimpanzee,SNIFFLES
chr6,12431796,12432273,478,,chimpanzee,SNIFFLES
chr6,16858518,70678866,53820349,,chimpanzee,SNIFFLES
chr6,25597563,25597979,417,,chimpanzee,SNIFFLES
chr6,28305287,28306013,727,,chimpanzee,SNIFFLES
chr6,30922862,30922935,74,,chimpanzee,SNIFFLES
chr6,31041443,31042318,876,,chimpanzee,SNIFFLES
chr6,40082362,40082798,437,,chimpanzee,SNIFFLES
chr6,42764388,42764773,386,,chimpanzee,SNIFFLES
chr6,42837724,42837835,112,,chimpanzee,SNIFFLES
chr6,56225838,56225952,115,,chimpanzee,SNIFFLES
chr6,61185347,61185687,341,,chimpanzee,SNIFFLES
chr6,64649670,64650518,849,,chimpanzee,SNIFFLES
chr6,65128460,65140527,12068,,chimpanzee,SNIFFLES
chr6,68692626,68692718,93,,chimpanzee,SNIFFLES
chr6,68692625,68693184,560,,chimpanzee,SNIFFLES
chr6,71323956,71324570,615,,chimpanzee,SNIFFLES
chr6,71729469,71729940,472,,chimpanzee,SNIFFLES
chr6,78027440,78030893,3454,,chimpanzee,SNIFFLES
chr6,78027472,78027626,155,,chimpanzee,SNIFFLES
chr6,83306358,83306448,91,,chimpanzee,SNIFFLES
chr6,86211321,86212118,798,,chimpanzee,SNIFFLES
chr6,89213916,89214232,317,,chimpanzee,SNIFFLES
chr6,90241825,90243252,1428,,chimpanzee,SNIFFLES
chr6,91453114,91454313,1200,,chimpanzee,SNIFFLES
chr6,92738726,92751225,12500,,chimpanzee,SNIFFLES
chr6,94031357,94031700,344,,chimpanzee,SNIFFLES
chr6,96820283,96821493,1211,,chimpanzee,SNIFFLES
chr6,100092866,100093824,959,,chimpanzee,SNIFFLES
chr6,106720680,106723005,2326,,chimpanzee,SNIFFLES
chr6,106721327,106723004,1678,,chimpanzee,SNIFFLES
chr6,107139608,107139700,93,,chimpanzee,SNIFFLES
chr6,109946553,109946595,43,,chimpanzee,SNIFFLES
chr6,113368789,113369884,1096,,chimpanzee,SNIFFLES
chr6,115357735,115357913,179,,chimpanzee,SNIFFLES
chr6,116952681,152832574,35879894,,chimpanzee,SNIFFLES
chr6,119273213,119274547,1335,,chimpanzee,SNIFFLES
chr6,125019190,125019830,641,,chimpanzee,SNIFFLES
chr6,126410600,126413143,2544,,chimpanzee,SNIFFLES
chr6,130182807,130183539,733,,chimpanzee,SNIFFLES
chr6,130759096,130759380,285,,chimpanzee,SNIFFLES
chr6,132295585,132300387,4803,,chimpanzee,SNIFFLES
chr6,132300387,132300635,249,,chimpanzee,SNIFFLES
chr6,138170552,138170645,94,,chimpanzee,SNIFFLES
chr6,141298851,141299153,303,,chimpanzee,SNIFFLES
chr6,149954766,150006055,51290,,chimpanzee,SNIFFLES
chr6,153418983,160785917,7366935,,chimpanzee,SNIFFLES
chr6,155003333,155004043,711,,chimpanzee,SNIFFLES
chr6,158411376,158411503,128,,chimpanzee,SNIFFLES
chr6,167238866,167265984,27119,,chimpanzee,SNIFFLES
chr6,167786252,167786866,615,,chimpanzee,SNIFFLES
chr6,170607934,170608176,243,,chimpanzee,SNIFFLES
chr12,11048504,11049212,709,,chimpanzee,SNIFFLES
chr7,7313400,7313976,577,,chimpanzee,SNIFFLES
chr7,8851024,8866469,15446,,chimpanzee,SNIFFLES
chr7,8851015,8855493,4479,,chimpanzee,SNIFFLES
chr7,12023940,12025060,1121,,chimpanzee,SNIFFLES
chr7,16216422,16222458,6037,,chimpanzee,SNIFFLES
chr7,20418470,20418525,56,,chimpanzee,SNIFFLES
chr7,23048240,23052048,3809,,chimpanzee,SNIFFLES
chr7,23051624,23052047,424,,chimpanzee,SNIFFLES
chr7,32951654,55729236,22777583,,chimpanzee,SNIFFLES
chr7,35453317,35453640,324,,chimpanzee,SNIFFLES
chr7,35627276,35636023,8748,,chimpanzee,SNIFFLES
chr7,35631109,35635838,4730,,chimpanzee,SNIFFLES
chr7,39378610,43976278,4597669,,chimpanzee,SNIFFLES
chr7,39486119,39486341,223,,chimpanzee,SNIFFLES
chr7,40839777,40840814,1038,,chimpanzee,SNIFFLES
chr7,42421236,42425524,4289,,chimpanzee,SNIFFLES
chr7,47897750,47906353,8604,,chimpanzee,SNIFFLES
chr7,48248254,48249230,977,,chimpanzee,SNIFFLES
chr7,49183418,49184564,1147,,chimpanzee,SNIFFLES
chr7,49184490,49185692,1203,,chimpanzee,SNIFFLES
chr7,50677193,139319478,88642286,,chimpanzee,SNIFFLES
chr7,53184635,53188937,4303,,chimpanzee,SNIFFLES
chr7,54181518,54181756,239,,chimpanzee,SNIFFLES
chr7,64983732,65382216,398485,,chimpanzee,SNIFFLES
chr7,65966713,68161216,2194504,,chimpanzee,SNIFFLES
chr7,66149479,66149839,361,,chimpanzee,SNIFFLES
chr7,66972694,72844298,5871605,,chimpanzee,SNIFFLES
chr7,67019304,67020344,1041,,chimpanzee,SNIFFLES
chr7,67554079,67554178,100,,chimpanzee,SNIFFLES
chr7,76561211,76651416,90206,,chimpanzee,SNIFFLES
chr7,77066760,102520632,25453873,,chimpanzee,SNIFFLES
chr7,81279549,81314874,35326,,chimpanzee,SNIFFLES
chr7,83936441,83936613,173,,chimpanzee,SNIFFLES
chr7,90028988,90029026,39,,chimpanzee,SNIFFLES
chr7,90609185,90609277,93,,chimpanzee,SNIFFLES
chr7,93058703,93059010,308,,chimpanzee,SNIFFLES
chr7,95651455,95655181,3727,,chimpanzee,SNIFFLES
chr7,95651455,95653457,2003,,chimpanzee,SNIFFLES
chr7,95845751,95846018,268,,chimpanzee,SNIFFLES
chr7,102249827,102518073,268247,,chimpanzee,SNIFFLES
chr7,104833555,104833898,344,,chimpanzee,SNIFFLES
chr7,107418984,107422333,3350,,chimpanzee,SNIFFLES
chr7,108338767,108340166,1400,,chimpanzee,SNIFFLES
chr7,113725357,113725562,206,,chimpanzee,SNIFFLES
chr7,115539909,115540010,102,,chimpanzee,SNIFFLES
chr7,116479024,116479296,273,,chimpanzee,SNIFFLES
chr7,116479025,116479298,274,,chimpanzee,SNIFFLES
chr7,123579367,123580522,1156,,chimpanzee,SNIFFLES
chr7,124524227,124528658,4432,,chimpanzee,SNIFFLES
chr7,124524227,124529694,5468,,chimpanzee,SNIFFLES
chr7,125631539,125636090,4552,,chimpanzee,SNIFFLES
chr7,125636006,125636243,238,,chimpanzee,SNIFFLES
chr7,136139152,136139313,162,,chimpanzee,SNIFFLES
